"ictKey","Translated ictMarketTemplateName","Translated ictSelectionTemplateName"
"","",""
"darts|two-participant-event|correct-score|H18-0","Tačan rezultat","18:0"
"darts|two-participant-event|correct-score|A18-1","Tačan rezultat","1:18"
"darts|two-participant-event|correct-score|H18-1","Tačan rezultat","18:1"
"darts|two-participant-event|correct-score|A18-2","Tačan rezultat","2:18"
"darts|two-participant-event|correct-score|H18-2","Tačan rezultat","18:2"
"darts|two-participant-event|correct-score|A18-3","Tačan rezultat","3:18"
"darts|two-participant-event|correct-score|H18-3","Tačan rezultat","18:3"
"darts|two-participant-event|correct-score|A18-4","Tačan rezultat","4:18"
"darts|two-participant-event|correct-score|H18-4","Tačan rezultat","18:4"
"darts|two-participant-event|correct-score|A18-5","Tačan rezultat","5:18"
"darts|two-participant-event|correct-score|H18-5","Tačan rezultat","18:5"
"darts|two-participant-event|correct-score|A18-6","Tačan rezultat","6:18"
"darts|two-participant-event|correct-score|H18-6","Tačan rezultat","18:6"
"darts|two-participant-event|correct-score|A18-7","Tačan rezultat","7:18"
"darts|two-participant-event|correct-score|H18-7","Tačan rezultat","18:7"
"darts|two-participant-event|correct-score|A18-8","Tačan rezultat","8:18"
"darts|two-participant-event|correct-score|H18-8","Tačan rezultat","18:8"
"darts|two-participant-event|correct-score|A18-9","Tačan rezultat","9:18"
"darts|two-participant-event|correct-score|H18-9","Tačan rezultat","18:9"
"darts|two-participant-event|correct-score|A18-10","Tačan rezultat","10:18"
"darts|two-participant-event|correct-score|H18-10","Tačan rezultat","18:10"
"darts|two-participant-event|correct-score|A18-11","Tačan rezultat","11:18"
"darts|two-participant-event|correct-score|H18-11","Tačan rezultat","18:11"
"darts|two-participant-event|correct-score|A18-12","Tačan rezultat","12:18"
"darts|two-participant-event|correct-score|H18-12","Tačan rezultat","18:12"
"darts|two-participant-event|correct-score|A18-13","Tačan rezultat","13:18"
"darts|two-participant-event|correct-score|H18-13","Tačan rezultat","18:13"
"darts|two-participant-event|correct-score|A18-14","Tačan rezultat","14:18"
"darts|two-participant-event|correct-score|H18-14","Tačan rezultat","18:14"
"darts|two-participant-event|correct-score|A18-15","Tačan rezultat","15:18"
"darts|two-participant-event|correct-score|H18-15","Tačan rezultat","18:15"
"darts|two-participant-event|correct-score|A18-16","Tačan rezultat","16:18"
"darts|two-participant-event|correct-score|H18-16","Tačan rezultat","18:16"
"darts|two-participant-event|correct-score|A18-17","Tačan rezultat","17:18"
"darts|two-participant-event|correct-score|H18-17","Tačan rezultat","18:17"
"darts|two-participant-event|correct-score|D6-6","Tačan rezultat","6:6"
"darts|two-participant-event|set-winner-1|H","Pobjednik 1. seta","1"
"darts|two-participant-event|set-winner-1|A","Pobjednik 1. seta","2"
"darts|two-participant-event|set-winner-2|H","Pobjednik 2. seta","1"
"darts|two-participant-event|set-winner-2|A","Pobjednik 2. seta","2"
"darts|two-participant-event|set-winner-3|H","Pobjednik 3. seta","1"
"darts|two-participant-event|set-winner-3|A","Pobjednik 3. seta","2"
"darts|two-participant-event|set-winner-4|H","Pobjednik 4. seta","1"
"darts|two-participant-event|set-winner-4|A","Pobjednik 4. seta","2"
"darts|two-participant-event|set-winner-5|H","Pobjednik 5. seta","1"
"darts|two-participant-event|set-winner-5|A","Pobjednik 5. seta","2"
"darts|two-participant-event|set-winner-6|H","Pobjednik 6. seta","1"
"darts|two-participant-event|set-winner-6|A","Pobjednik 6. seta","2"
"darts|two-participant-event|set-winner-7|H","Pobjednik 7. seta","1"
"darts|two-participant-event|set-winner-7|A","Pobjednik 7. seta","2"
"darts|two-participant-event|set-winner-8|H","Pobjednik 8. seta","1"
"darts|two-participant-event|set-winner-8|A","Pobjednik 8. seta","2"
"darts|two-participant-event|set-winner-9|H","Pobjednik 9. seta","1"
"darts|two-participant-event|set-winner-9|A","Pobjednik 9. seta","2"
"darts|two-participant-event|set-winner-10|H","Pobjednik 10. seta","1"
"darts|two-participant-event|set-winner-10|A","Pobjednik 10. seta","2"
"darts|two-participant-event|set-winner-11|H","Pobjednik 11. seta","1"
"darts|two-participant-event|set-winner-11|A","Pobjednik 11. seta","2"
"darts|two-participant-event|set-correct-score-1|H1-0","Tačan rezultat 1. seta","1:0"
"darts|two-participant-event|set-correct-score-1|A1-0","Tačan rezultat 1. seta","0:1"
"darts|two-participant-event|set-correct-score-1|H2-0","Tačan rezultat 1. seta","2:0"
"darts|two-participant-event|set-correct-score-1|A2-0","Tačan rezultat 1. seta","0:2"
"darts|two-participant-event|set-correct-score-1|H3-0","Tačan rezultat 1. seta","3:0"
"darts|two-participant-event|set-correct-score-1|A3-0","Tačan rezultat 1. seta","0:3"
"darts|two-participant-event|set-correct-score-1|A1-0","Tačan rezultat 1. seta","0:1"
"darts|two-participant-event|set-correct-score-1|H1-0","Tačan rezultat 1. seta","1:0"
"darts|two-participant-event|set-correct-score-1|H2-1","Tačan rezultat 1. seta","2:1"
"darts|two-participant-event|set-correct-score-1|A2-1","Tačan rezultat 1. seta","1:2"
"darts|two-participant-event|set-correct-score-1|H3-1","Tačan rezultat 1. seta","3:1"
"darts|two-participant-event|set-correct-score-1|A3-1","Tačan rezultat 1. seta","1:3"
"darts|two-participant-event|set-correct-score-1|A2-0","Tačan rezultat 1. seta","0:2"
"darts|two-participant-event|set-correct-score-1|H2-0","Tačan rezultat 1. seta","2:0"
"darts|two-participant-event|set-correct-score-1|A2-1","Tačan rezultat 1. seta","1:2"
"darts|two-participant-event|set-correct-score-1|H2-1","Tačan rezultat 1. seta","2:1"
"darts|two-participant-event|set-correct-score-1|H3-2","Tačan rezultat 1. seta","3:2"
"darts|two-participant-event|set-correct-score-1|A3-2","Tačan rezultat 1. seta","2:3"
"darts|two-participant-event|set-correct-score-1|A3-0","Tačan rezultat 1. seta","0:3"
"darts|two-participant-event|set-correct-score-1|H3-0","Tačan rezultat 1. seta","3:0"
"darts|two-participant-event|set-correct-score-1|A3-1","Tačan rezultat 1. seta","1:3"
"darts|two-participant-event|set-correct-score-1|H3-1","Tačan rezultat 1. seta","3:1"
"darts|two-participant-event|set-correct-score-1|A3-2","Tačan rezultat 1. seta","2:3"
"darts|two-participant-event|set-correct-score-1|H3-2","Tačan rezultat 1. seta","3:2"
"darts|two-participant-event|set-correct-score-2|H1-0","Tačan rezultat 2. seta","1:0"
"darts|two-participant-event|set-correct-score-2|A1-0","Tačan rezultat 2. seta","0:1"
"darts|two-participant-event|set-correct-score-2|H2-0","Tačan rezultat 2. seta","2:0"
"darts|two-participant-event|set-correct-score-2|A2-0","Tačan rezultat 2. seta","0:2"
"darts|two-participant-event|set-correct-score-2|H3-0","Tačan rezultat 2. seta","3:0"
"darts|two-participant-event|set-correct-score-2|A3-0","Tačan rezultat 2. seta","0:3"
"darts|two-participant-event|set-correct-score-2|A1-0","Tačan rezultat 2. seta","0:1"
"darts|two-participant-event|set-correct-score-2|H1-0","Tačan rezultat 2. seta","1:0"
"darts|two-participant-event|set-correct-score-2|H2-1","Tačan rezultat 2. seta","2:1"
"darts|two-participant-event|set-correct-score-2|A2-1","Tačan rezultat 2. seta","1:2"
"darts|two-participant-event|set-correct-score-2|H3-1","Tačan rezultat 2. seta","3:1"
"darts|two-participant-event|set-correct-score-2|A3-1","Tačan rezultat 2. seta","1:3"
"darts|two-participant-event|set-correct-score-2|A2-0","Tačan rezultat 2. seta","0:2"
"darts|two-participant-event|set-correct-score-2|H2-0","Tačan rezultat 2. seta","2:0"
"darts|two-participant-event|set-correct-score-2|A2-1","Tačan rezultat 2. seta","1:2"
"darts|two-participant-event|set-correct-score-2|H2-1","Tačan rezultat 2. seta","2:1"
"darts|two-participant-event|set-correct-score-2|H3-2","Tačan rezultat 2. seta","3:2"
"darts|two-participant-event|set-correct-score-2|A3-2","Tačan rezultat 2. seta","2:3"
"darts|two-participant-event|set-correct-score-2|A3-0","Tačan rezultat 2. seta","0:3"
"darts|two-participant-event|set-correct-score-2|H3-0","Tačan rezultat 2. seta","3:0"
"darts|two-participant-event|set-correct-score-2|A3-1","Tačan rezultat 2. seta","1:3"
"darts|two-participant-event|set-correct-score-2|H3-1","Tačan rezultat 2. seta","3:1"
"darts|two-participant-event|set-correct-score-2|A3-2","Tačan rezultat 2. seta","2:3"
"darts|two-participant-event|set-correct-score-2|H3-2","Tačan rezultat 2. seta","3:2"
"darts|two-participant-event|set-correct-score-3|H1-0","Tačan rezultat 3. seta","1:0"
"darts|two-participant-event|set-correct-score-3|A1-0","Tačan rezultat 3. seta","0:1"
"darts|two-participant-event|set-correct-score-3|H2-0","Tačan rezultat 3. seta","2:0"
"darts|two-participant-event|set-correct-score-3|A2-0","Tačan rezultat 3. seta","0:2"
"darts|two-participant-event|set-correct-score-3|H3-0","Tačan rezultat 3. seta","3:0"
"darts|two-participant-event|set-correct-score-3|A3-0","Tačan rezultat 3. seta","0:3"
"darts|two-participant-event|set-correct-score-3|A1-0","Tačan rezultat 3. seta","0:1"
"darts|two-participant-event|set-correct-score-3|H1-0","Tačan rezultat 3. seta","1:0"
"darts|two-participant-event|set-correct-score-3|H2-1","Tačan rezultat 3. seta","2:1"
"darts|two-participant-event|set-correct-score-3|A2-1","Tačan rezultat 3. seta","1:2"
"darts|two-participant-event|set-correct-score-3|H3-1","Tačan rezultat 3. seta","3:1"
"darts|two-participant-event|set-correct-score-3|A3-1","Tačan rezultat 3. seta","1:3"
"darts|two-participant-event|set-correct-score-3|A2-0","Tačan rezultat 3. seta","0:2"
"darts|two-participant-event|set-correct-score-3|H2-0","Tačan rezultat 3. seta","2:0"
"darts|two-participant-event|set-correct-score-3|A2-1","Tačan rezultat 3. seta","1:2"
"darts|two-participant-event|set-correct-score-3|H2-1","Tačan rezultat 3. seta","2:1"
"darts|two-participant-event|set-correct-score-3|H3-2","Tačan rezultat 3. seta","3:2"
"darts|two-participant-event|set-correct-score-3|A3-2","Tačan rezultat 3. seta","2:3"
"darts|two-participant-event|set-correct-score-3|A3-0","Tačan rezultat 3. seta","0:3"
"darts|two-participant-event|set-correct-score-3|H3-0","Tačan rezultat 3. seta","3:0"
"darts|two-participant-event|set-correct-score-3|A3-1","Tačan rezultat 3. seta","1:3"
"darts|two-participant-event|set-correct-score-3|H3-1","Tačan rezultat 3. seta","3:1"
"darts|two-participant-event|set-correct-score-3|A3-2","Tačan rezultat 3. seta","2:3"
"darts|two-participant-event|set-correct-score-3|H3-2","Tačan rezultat 3. seta","3:2"
"darts|two-participant-event|set-correct-score-4|H1-0","Tačan rezultat 4. seta","1:0"
"darts|two-participant-event|set-correct-score-4|A1-0","Tačan rezultat 4. seta","0:1"
"darts|two-participant-event|set-correct-score-4|H2-0","Tačan rezultat 4. seta","2:0"
"darts|two-participant-event|set-correct-score-4|A2-0","Tačan rezultat 4. seta","0:2"
"darts|two-participant-event|set-correct-score-4|H3-0","Tačan rezultat 4. seta","3:0"
"darts|two-participant-event|set-correct-score-4|A3-0","Tačan rezultat 4. seta","0:3"
"darts|two-participant-event|set-correct-score-4|A1-0","Tačan rezultat 4. seta","0:1"
"darts|two-participant-event|set-correct-score-4|H1-0","Tačan rezultat 4. seta","1:0"
"darts|two-participant-event|set-correct-score-4|H2-1","Tačan rezultat 4. seta","2:1"
"darts|two-participant-event|set-correct-score-4|A2-1","Tačan rezultat 4. seta","1:2"
"darts|two-participant-event|set-correct-score-4|H3-1","Tačan rezultat 4. seta","3:1"
"darts|two-participant-event|set-correct-score-4|A3-1","Tačan rezultat 4. seta","1:3"
"darts|two-participant-event|set-correct-score-4|A2-0","Tačan rezultat 4. seta","0:2"
"darts|two-participant-event|set-correct-score-4|H2-0","Tačan rezultat 4. seta","2:0"
"darts|two-participant-event|set-correct-score-4|A2-1","Tačan rezultat 4. seta","1:2"
"darts|two-participant-event|set-correct-score-4|H2-1","Tačan rezultat 4. seta","2:1"
"darts|two-participant-event|set-correct-score-4|H3-2","Tačan rezultat 4. seta","3:2"
"darts|two-participant-event|set-correct-score-4|A3-2","Tačan rezultat 4. seta","2:3"
"darts|two-participant-event|set-correct-score-4|A3-0","Tačan rezultat 4. seta","0:3"
"darts|two-participant-event|set-correct-score-4|H3-0","Tačan rezultat 4. seta","3:0"
"darts|two-participant-event|set-correct-score-4|A3-1","Tačan rezultat 4. seta","1:3"
"darts|two-participant-event|set-correct-score-4|H3-1","Tačan rezultat 4. seta","3:1"
"darts|two-participant-event|set-correct-score-4|A3-2","Tačan rezultat 4. seta","2:3"
"darts|two-participant-event|set-correct-score-4|H3-2","Tačan rezultat 4. seta","3:2"
"darts|two-participant-event|set-correct-score-5|H1-0","Tačan rezultat 5. seta","1:0"
"darts|two-participant-event|set-correct-score-5|A1-0","Tačan rezultat 5. seta","0:1"
"darts|two-participant-event|set-correct-score-5|H2-0","Tačan rezultat 5. seta","2:0"
"darts|two-participant-event|set-correct-score-5|A2-0","Tačan rezultat 5. seta","0:2"
"darts|two-participant-event|set-correct-score-5|H3-0","Tačan rezultat 5. seta","3:0"
"darts|two-participant-event|set-correct-score-5|A3-0","Tačan rezultat 5. seta","0:3"
"darts|two-participant-event|set-correct-score-5|A1-0","Tačan rezultat 5. seta","0:1"
"darts|two-participant-event|set-correct-score-5|H1-0","Tačan rezultat 5. seta","1:0"
"darts|two-participant-event|set-correct-score-5|H2-1","Tačan rezultat 5. seta","2:1"
"darts|two-participant-event|set-correct-score-5|A2-1","Tačan rezultat 5. seta","1:2"
"darts|two-participant-event|set-correct-score-5|H3-1","Tačan rezultat 5. seta","3:1"
"darts|two-participant-event|set-correct-score-5|A3-1","Tačan rezultat 5. seta","1:3"
"darts|two-participant-event|set-correct-score-5|A2-0","Tačan rezultat 5. seta","0:2"
"darts|two-participant-event|set-correct-score-5|H2-0","Tačan rezultat 5. seta","2:0"
"darts|two-participant-event|set-correct-score-5|A2-1","Tačan rezultat 5. seta","1:2"
"darts|two-participant-event|set-correct-score-5|H2-1","Tačan rezultat 5. seta","2:1"
"darts|two-participant-event|set-correct-score-5|H3-2","Tačan rezultat 5. seta","3:2"
"darts|two-participant-event|set-correct-score-5|A3-2","Tačan rezultat 5. seta","2:3"
"darts|two-participant-event|set-correct-score-5|A3-0","Tačan rezultat 5. seta","0:3"
"darts|two-participant-event|set-correct-score-5|H3-0","Tačan rezultat 5. seta","3:0"
"darts|two-participant-event|set-correct-score-5|A3-1","Tačan rezultat 5. seta","1:3"
"darts|two-participant-event|set-correct-score-5|H3-1","Tačan rezultat 5. seta","3:1"
"darts|two-participant-event|set-correct-score-5|A3-2","Tačan rezultat 5. seta","2:3"
"darts|two-participant-event|set-correct-score-5|H3-2","Tačan rezultat 5. seta","3:2"
"darts|two-participant-event|set-correct-score-6|H1-0","Tačan rezultat 6. seta","1:0"
"darts|two-participant-event|set-correct-score-6|A1-0","Tačan rezultat 6. seta","0:1"
"darts|two-participant-event|set-correct-score-6|H2-0","Tačan rezultat 6. seta","2:0"
"darts|two-participant-event|set-correct-score-6|A2-0","Tačan rezultat 6. seta","0:2"
"darts|two-participant-event|set-correct-score-6|H3-0","Tačan rezultat 6. seta","3:0"
"darts|two-participant-event|set-correct-score-6|A3-0","Tačan rezultat 6. seta","0:3"
"darts|two-participant-event|set-correct-score-6|A1-0","Tačan rezultat 6. seta","0:1"
"darts|two-participant-event|set-correct-score-6|H1-0","Tačan rezultat 6. seta","1:0"
"darts|two-participant-event|set-correct-score-6|H2-1","Tačan rezultat 6. seta","2:1"
"darts|two-participant-event|set-correct-score-6|A2-1","Tačan rezultat 6. seta","1:2"
"darts|two-participant-event|set-correct-score-6|H3-1","Tačan rezultat 6. seta","3:1"
"darts|two-participant-event|set-correct-score-6|A3-1","Tačan rezultat 6. seta","1:3"
"darts|two-participant-event|set-correct-score-6|A2-0","Tačan rezultat 6. seta","0:2"
"darts|two-participant-event|set-correct-score-6|H2-0","Tačan rezultat 6. seta","2:0"
"darts|two-participant-event|set-correct-score-6|A2-1","Tačan rezultat 6. seta","1:2"
"darts|two-participant-event|set-correct-score-6|H2-1","Tačan rezultat 6. seta","2:1"
"darts|two-participant-event|set-correct-score-6|H3-2","Tačan rezultat 6. seta","3:2"
"darts|two-participant-event|set-correct-score-6|A3-2","Tačan rezultat 6. seta","2:3"
"darts|two-participant-event|set-correct-score-6|A3-0","Tačan rezultat 6. seta","0:3"
"darts|two-participant-event|set-correct-score-6|H3-0","Tačan rezultat 6. seta","3:0"
"darts|two-participant-event|set-correct-score-6|A3-1","Tačan rezultat 6. seta","1:3"
"darts|two-participant-event|set-correct-score-6|H3-1","Tačan rezultat 6. seta","3:1"
"darts|two-participant-event|set-correct-score-6|A3-2","Tačan rezultat 6. seta","2:3"
"darts|two-participant-event|set-correct-score-6|H3-2","Tačan rezultat 6. seta","3:2"
"darts|two-participant-event|set-correct-score-7|H1-0","Tačan rezultat 7. seta","1:0"
"darts|two-participant-event|set-correct-score-7|A1-0","Tačan rezultat 7. seta","0:1"
"darts|two-participant-event|set-correct-score-7|H2-0","Tačan rezultat 7. seta","2:0"
"darts|two-participant-event|set-correct-score-7|A2-0","Tačan rezultat 7. seta","0:2"
"darts|two-participant-event|set-correct-score-7|H3-0","Tačan rezultat 7. seta","3:0"
"darts|two-participant-event|set-correct-score-7|A3-0","Tačan rezultat 7. seta","0:3"
"darts|two-participant-event|set-correct-score-7|A1-0","Tačan rezultat 7. seta","0:1"
"darts|two-participant-event|set-correct-score-7|H1-0","Tačan rezultat 7. seta","1:0"
"darts|two-participant-event|set-correct-score-7|H2-1","Tačan rezultat 7. seta","2:1"
"darts|two-participant-event|set-correct-score-7|A2-1","Tačan rezultat 7. seta","1:2"
"darts|two-participant-event|set-correct-score-7|H3-1","Tačan rezultat 7. seta","3:1"
"darts|two-participant-event|set-correct-score-7|A3-1","Tačan rezultat 7. seta","1:3"
"darts|two-participant-event|set-correct-score-7|A2-0","Tačan rezultat 7. seta","0:2"
"darts|two-participant-event|set-correct-score-7|H2-0","Tačan rezultat 7. seta","2:0"
"darts|two-participant-event|set-correct-score-7|A2-1","Tačan rezultat 7. seta","1:2"
"darts|two-participant-event|set-correct-score-7|H2-1","Tačan rezultat 7. seta","2:1"
"darts|two-participant-event|set-correct-score-7|H3-2","Tačan rezultat 7. seta","3:2"
"darts|two-participant-event|set-correct-score-7|A3-2","Tačan rezultat 7. seta","2:3"
"darts|two-participant-event|set-correct-score-7|A3-0","Tačan rezultat 7. seta","0:3"
"darts|two-participant-event|set-correct-score-7|H3-0","Tačan rezultat 7. seta","3:0"
"darts|two-participant-event|set-correct-score-7|A3-1","Tačan rezultat 7. seta","1:3"
"darts|two-participant-event|set-correct-score-7|H3-1","Tačan rezultat 7. seta","3:1"
"darts|two-participant-event|set-correct-score-7|A3-2","Tačan rezultat 7. seta","2:3"
"darts|two-participant-event|set-correct-score-7|H3-2","Tačan rezultat 7. seta","3:2"
"darts|two-participant-event|set-correct-score-8|H1-0","Tačan rezultat 8. seta","1:0"
"darts|two-participant-event|set-correct-score-8|A1-0","Tačan rezultat 8. seta","0:1"
"darts|two-participant-event|set-correct-score-8|H2-0","Tačan rezultat 8. seta","2:0"
"darts|two-participant-event|set-correct-score-8|A2-0","Tačan rezultat 8. seta","0:2"
"darts|two-participant-event|set-correct-score-8|H3-0","Tačan rezultat 8. seta","3:0"
"darts|two-participant-event|set-correct-score-8|A3-0","Tačan rezultat 8. seta","0:3"
"darts|two-participant-event|set-correct-score-8|A1-0","Tačan rezultat 8. seta","0:1"
"darts|two-participant-event|set-correct-score-8|H1-0","Tačan rezultat 8. seta","1:0"
"darts|two-participant-event|set-correct-score-8|H2-1","Tačan rezultat 8. seta","2:1"
"darts|two-participant-event|set-correct-score-8|A2-1","Tačan rezultat 8. seta","1:2"
"darts|two-participant-event|set-correct-score-8|H3-1","Tačan rezultat 8. seta","3:1"
"darts|two-participant-event|set-correct-score-8|A3-1","Tačan rezultat 8. seta","1:3"
"darts|two-participant-event|set-correct-score-8|A2-0","Tačan rezultat 8. seta","0:2"
"darts|two-participant-event|set-correct-score-8|H2-0","Tačan rezultat 8. seta","2:0"
"darts|two-participant-event|set-correct-score-8|A2-1","Tačan rezultat 8. seta","1:2"
"darts|two-participant-event|set-correct-score-8|H2-1","Tačan rezultat 8. seta","2:1"
"darts|two-participant-event|set-correct-score-8|H3-2","Tačan rezultat 8. seta","3:2"
"darts|two-participant-event|set-correct-score-8|A3-2","Tačan rezultat 8. seta","2:3"
"darts|two-participant-event|set-correct-score-8|A3-0","Tačan rezultat 8. seta","0:3"
"darts|two-participant-event|set-correct-score-8|H3-0","Tačan rezultat 8. seta","3:0"
"darts|two-participant-event|set-correct-score-8|A3-1","Tačan rezultat 8. seta","1:3"
"darts|two-participant-event|set-correct-score-8|H3-1","Tačan rezultat 8. seta","3:1"
"darts|two-participant-event|set-correct-score-8|A3-2","Tačan rezultat 8. seta","2:3"
"darts|two-participant-event|set-correct-score-8|H3-2","Tačan rezultat 8. seta","3:2"
"darts|two-participant-event|set-correct-score-9|H1-0","Tačan rezultat 9. seta","1:0"
"darts|two-participant-event|set-correct-score-9|A1-0","Tačan rezultat 9. seta","0:1"
"darts|two-participant-event|set-correct-score-9|H2-0","Tačan rezultat 9. seta","2:0"
"darts|two-participant-event|set-correct-score-9|A2-0","Tačan rezultat 9. seta","0:2"
"darts|two-participant-event|set-correct-score-9|H3-0","Tačan rezultat 9. seta","3:0"
"darts|two-participant-event|set-correct-score-9|A3-0","Tačan rezultat 9. seta","0:3"
"darts|two-participant-event|set-correct-score-9|A1-0","Tačan rezultat 9. seta","0:1"
"darts|two-participant-event|set-correct-score-9|H1-0","Tačan rezultat 9. seta","1:0"
"darts|two-participant-event|set-correct-score-9|H2-1","Tačan rezultat 9. seta","2:1"
"darts|two-participant-event|set-correct-score-9|A2-1","Tačan rezultat 9. seta","1:2"
"darts|two-participant-event|set-correct-score-9|H3-1","Tačan rezultat 9. seta","3:1"
"darts|two-participant-event|set-correct-score-9|A3-1","Tačan rezultat 9. seta","1:3"
"darts|two-participant-event|set-correct-score-9|A2-0","Tačan rezultat 9. seta","0:2"
"darts|two-participant-event|set-correct-score-9|H2-0","Tačan rezultat 9. seta","2:0"
"darts|two-participant-event|set-correct-score-9|A2-1","Tačan rezultat 9. seta","1:2"
"darts|two-participant-event|set-correct-score-9|H2-1","Tačan rezultat 9. seta","2:1"
"darts|two-participant-event|set-correct-score-9|H3-2","Tačan rezultat 9. seta","3:2"
"darts|two-participant-event|set-correct-score-9|A3-2","Tačan rezultat 9. seta","2:3"
"darts|two-participant-event|set-correct-score-9|A3-0","Tačan rezultat 9. seta","0:3"
"darts|two-participant-event|set-correct-score-9|H3-0","Tačan rezultat 9. seta","3:0"
"darts|two-participant-event|set-correct-score-9|A3-1","Tačan rezultat 9. seta","1:3"
"darts|two-participant-event|set-correct-score-9|H3-1","Tačan rezultat 9. seta","3:1"
"darts|two-participant-event|set-correct-score-9|A3-2","Tačan rezultat 9. seta","2:3"
"darts|two-participant-event|set-correct-score-9|H3-2","Tačan rezultat 9. seta","3:2"
"darts|two-participant-event|set-correct-score-10|H1-0","Tačan rezultat 10. seta","1:0"
"darts|two-participant-event|set-correct-score-10|A1-0","Tačan rezultat 10. seta","0:1"
"darts|two-participant-event|set-correct-score-10|H2-0","Tačan rezultat 10. seta","2:0"
"darts|two-participant-event|set-correct-score-10|A2-0","Tačan rezultat 10. seta","0:2"
"darts|two-participant-event|set-correct-score-10|H3-0","Tačan rezultat 10. seta","3:0"
"darts|two-participant-event|set-correct-score-10|A3-0","Tačan rezultat 10. seta","0:3"
"darts|two-participant-event|set-correct-score-10|A1-0","Tačan rezultat 10. seta","0:1"
"darts|two-participant-event|set-correct-score-10|H1-0","Tačan rezultat 10. seta","1:0"
"darts|two-participant-event|set-correct-score-10|H2-1","Tačan rezultat 10. seta","2:1"
"darts|two-participant-event|set-correct-score-10|A2-1","Tačan rezultat 10. seta","1:2"
"darts|two-participant-event|set-correct-score-10|H3-1","Tačan rezultat 10. seta","3:1"
"darts|two-participant-event|set-correct-score-10|A3-1","Tačan rezultat 10. seta","1:3"
"darts|two-participant-event|set-correct-score-10|A2-0","Tačan rezultat 10. seta","0:2"
"darts|two-participant-event|set-correct-score-10|H2-0","Tačan rezultat 10. seta","2:0"
"darts|two-participant-event|set-correct-score-10|A2-1","Tačan rezultat 10. seta","1:2"
"darts|two-participant-event|set-correct-score-10|H2-1","Tačan rezultat 10. seta","2:1"
"darts|two-participant-event|set-correct-score-10|H3-2","Tačan rezultat 10. seta","3:2"
"darts|two-participant-event|set-correct-score-10|A3-2","Tačan rezultat 10. seta","2:3"
"darts|two-participant-event|set-correct-score-10|A3-0","Tačan rezultat 10. seta","0:3"
"darts|two-participant-event|set-correct-score-10|H3-0","Tačan rezultat 10. seta","3:0"
"darts|two-participant-event|set-correct-score-10|A3-1","Tačan rezultat 10. seta","1:3"
"darts|two-participant-event|set-correct-score-10|H3-1","Tačan rezultat 10. seta","3:1"
"darts|two-participant-event|set-correct-score-10|A3-2","Tačan rezultat 10. seta","2:3"
"darts|two-participant-event|set-correct-score-10|H3-2","Tačan rezultat 10. seta","3:2"
"darts|two-participant-event|set-correct-score-11|H1-0","Tačan rezultat 11. seta","1:0"
"darts|two-participant-event|set-correct-score-11|A1-0","Tačan rezultat 11. seta","0:1"
"darts|two-participant-event|set-correct-score-11|H2-0","Tačan rezultat 11. seta","2:0"
"darts|two-participant-event|set-correct-score-11|A2-0","Tačan rezultat 11. seta","0:2"
"darts|two-participant-event|set-correct-score-11|H3-0","Tačan rezultat 11. seta","3:0"
"darts|two-participant-event|set-correct-score-11|A3-0","Tačan rezultat 11. seta","0:3"
"darts|two-participant-event|set-correct-score-11|A1-0","Tačan rezultat 11. seta","0:1"
"darts|two-participant-event|set-correct-score-11|H1-0","Tačan rezultat 11. seta","1:0"
"darts|two-participant-event|set-correct-score-11|H2-1","Tačan rezultat 11. seta","2:1"
"darts|two-participant-event|set-correct-score-11|A2-1","Tačan rezultat 11. seta","1:2"
"darts|two-participant-event|set-correct-score-11|H3-1","Tačan rezultat 11. seta","3:1"
"darts|two-participant-event|set-correct-score-11|A3-1","Tačan rezultat 11. seta","1:3"
"darts|two-participant-event|set-correct-score-11|A2-0","Tačan rezultat 11. seta","0:2"
"darts|two-participant-event|set-correct-score-11|H2-0","Tačan rezultat 11. seta","2:0"
"darts|two-participant-event|set-correct-score-11|A2-1","Tačan rezultat 11. seta","1:2"
"darts|two-participant-event|set-correct-score-11|H2-1","Tačan rezultat 11. seta","2:1"
"darts|two-participant-event|set-correct-score-11|H3-2","Tačan rezultat 11. seta","3:2"
"darts|two-participant-event|set-correct-score-11|A3-2","Tačan rezultat 11. seta","2:3"
"darts|two-participant-event|set-correct-score-11|A3-0","Tačan rezultat 11. seta","0:3"
"darts|two-participant-event|set-correct-score-11|H3-0","Tačan rezultat 11. seta","3:0"
"darts|two-participant-event|set-correct-score-11|A3-1","Tačan rezultat 11. seta","1:3"
"darts|two-participant-event|set-correct-score-11|H3-1","Tačan rezultat 11. seta","3:1"
"darts|two-participant-event|set-correct-score-11|A3-2","Tačan rezultat 11. seta","2:3"
"darts|two-participant-event|set-correct-score-11|H3-2","Tačan rezultat 11. seta","3:2"
"darts|two-participant-event|exact-at-least-1|0","Margina pobjede 1. set","0"
"darts|two-participant-event|exact-at-least-1|1","Margina pobjede 1. set","1"
"darts|two-participant-event|exact-at-least-1|2","Margina pobjede 1. set","2"
"darts|two-participant-event|exact-at-least-1|3","Margina pobjede 1. set","3"
"darts|two-participant-event|exact-at-least-1|4","Margina pobjede 1. set","4"
"darts|two-participant-event|exact-at-least-1|5","Margina pobjede 1. set","5"
"darts|two-participant-event|exact-at-least-1|6+","Margina pobjede 1. set","6+"
"darts|two-participant-event|match-winning-margin-2|0","Margina pobjede 2. set","0"
